,M,lambda
0,0.0,-11.209641148338305
1,0.08163265306122446,-11.25044634983855
2,0.163265306122449,-11.291254956440042
3,0.24489795918367344,-11.332062870044146
4,0.24744538667917776,-11.333333333333334
5,0.326530612244898,-11.372779476190951
6,0.40816326530612246,-11.413530160110756
7,0.4897959183673469,-11.454325281667572
8,0.5714285714285714,-11.494976757201364
9,0.6530612244897959,-11.535619545719609
10,0.7346938775510203,-11.576192363069461
11,0.8163265306122448,-11.616646027381531
12,0.8979591836734693,-11.65685906966858
13,0.9179771634002556,-11.666666666666666
14,0.9795918367346939,-11.6968650259714
15,1.0612244897959182,-11.736596710943093
16,1.1428571428571428,-11.775626380035092
17,1.2244897959183672,-11.813828067046018
18,1.3061224489795917,-11.850795682651807
19,1.3877551020408163,-11.885672178462368
20,1.4693877551020407,-11.917206861100244
21,1.5510204081632653,-11.942941424965632
22,1.6326530612244896,-11.957172229427073
23,1.7142857142857142,-11.9416870177579
24,1.7384219474837068,-11.666666666666664
25,1.7676811547719047,-11.333333333333334
26,1.7959183673469383,-11.011624801691257
27,1.8775510204081634,-11.01333136907501
28,1.9591836734693877,-11.028292931939923
29,2.0408163265306123,-11.037172934363582
30,2.1224489795918364,-11.042728921230516
31,2.204081632653061,-11.043325982069168
32,2.2857142857142856,-11.042876114441938
33,2.36734693877551,-11.04139062357552
34,2.448979591836734,-11.039886195211333
35,2.5306122448979593,-11.038680205901514
36,2.6122448979591835,-11.037761222233192
37,2.693877551020408,-11.03701371011493
38,2.7755102040816326,-11.036559019243255
39,2.8571428571428568,-11.036255311894076
40,2.9387755102040813,-11.03609558100522
41,3.020408163265306,-11.035935788615108
42,3.1020408163265305,-11.035783581423516
43,3.1836734693877546,-11.035631257370381
44,3.2653061224489788,-11.03547881627346
45,3.3469387755102034,-11.035326257950087
46,3.4285714285714284,-11.03516604509458
47,3.5102040816326534,-11.034875360489456
48,3.5918367346938775,-11.034707394448064
49,3.6734693877551017,-11.034401037244628
50,3.7551020408163263,-11.034086864043697
51,3.8367346938775513,-11.033625810044615
52,3.9183673469387754,-11.033156509633615
53,4.0,-11.032538773709495
