M,Gamma
1,1.92296e-21
1.08809,1.92292e-21
1.18394,1.92286e-21
1.28823,1.9228e-21
1.40171,1.92272e-21
1.52519,1.92264e-21
1.65954,1.92253e-21
1.80573,1.92241e-21
1.9648,1.92226e-21
2.13788,1.92209e-21
2.3262,1.92188e-21
2.53112,1.92163e-21
2.75409,1.92134e-21
2.99669,1.921e-21
3.26067,1.9206e-21
3.5479,1.92012e-21
3.86044,1.91955e-21
4.2005,1.91887e-21
4.57052,1.91807e-21
4.97314,1.91713e-21
5.41123,1.91601e-21
5.8879,1.91468e-21
6.40656,1.91311e-21
6.97092,1.91125e-21
7.58499,1.90904e-21
8.25315,1.90642e-21
8.98017,1.90332e-21
9.77123,1.89963e-21
10.632,1.89527e-21
11.5685,1.89008e-21
12.5876,1.88393e-21
13.6965,1.87661e-21
14.903,1.86791e-21
16.2158,1.85756e-21
17.6442,1.84523e-21
19.1985,1.83053e-21
20.8897,1.81297e-21
22.7299,1.79195e-21
24.7321,1.76675e-21
26.9108,1.73643e-21
29.2814,1.69984e-21
31.8608,1.65548e-21
34.6674,1.60137e-21
37.7212,1.53484e-21
41.0441,1.45214e-21
44.6596,1.34768e-21
48.5937,1.21242e-21
52.8743,1.02957e-21
57.532,7.58052e-22
62.6,8.95563e-31
